county,precinct,office,district,candidate,election_day,mail,provisional,votes
Warren,CONEWANGO #1 TWP,U.S. House,15,GLENN GT THOMPSON,557,170,3,730
Warren,CONEWANGO #1 TWP,U.S. House,15,Write-ins,0,0,0,0
Warren,CONEWANGO #1 TWP,State Senate,21,SCOTT E HUTCHINSON,592,221,3,816
Warren,CONEWANGO #1 TWP,State Senate,21,Write-ins,11,13,0,24
Warren,CONEWANGO #1 TWP,General Assembly,65,ERIN WILLMAN,230,151,1,382
Warren,CONEWANGO #1 TWP,General Assembly,65,KATHY L RAPP,537,172,2,711
Warren,CONEWANGO #1 TWP,General Assembly,65,Write-ins,7,0,0,7
Warren,CONEWANGO #2 TWP,President,,Kamala D. Harris,125,72,2,199
Warren,CONEWANGO #2 TWP,President,,Donald J. Trump,501,48,6,555
Warren,CONEWANGO #2 TWP,President,,Chase Oliver,3,0,0,3
Warren,CONEWANGO #2 TWP,President,,Jill Stein,0,1,0,1
Warren,CONEWANGO #2 TWP,President,,Write-ins,1,1,0,2
Warren,CONEWANGO #2 TWP,U.S. Senate,,ROBERT P CASEY JR,140,74,0,214
Warren,CONEWANGO #2 TWP,U.S. Senate,,DAVE MCCORMICK,467,46,7,520
Warren,CONEWANGO #2 TWP,U.S. Senate,,JOHN C THOMAS,10,0,0,10
Warren,CONEWANGO #2 TWP,U.S. Senate,,LEILA HAZOU,3,0,0,3
Warren,CONEWANGO #2 TWP,U.S. Senate,,MARTY SELKER,4,1,0,5
Warren,CONEWANGO #2 TWP,U.S. Senate,,Write-ins,0,0,1,1
Warren,CONEWANGO #2 TWP,Attorney General,,EUGENE DEPASQUALE,120,67,0,187
Warren,CONEWANGO #2 TWP,Attorney General,,DAVE SUNDAY,469,49,6,524
Warren,CONEWANGO #2 TWP,Attorney General,,ROBERT COWBURN,15,2,0,17
Warren,CONEWANGO #2 TWP,Attorney General,,RICHARD L WEISS,13,1,0,14
Warren,CONEWANGO #2 TWP,Attorney General,,JUSTIN L MAGILL,4,1,0,5
Warren,CONEWANGO #2 TWP,Attorney General,,ERIC L SETTLE,2,0,0,2
Warren,CONEWANGO #2 TWP,Attorney General,,Write-ins,0,0,0,0
Warren,CONEWANGO #2 TWP,Auditor General,,MALCOLM KENYATTA,114,64,0,178
Warren,CONEWANGO #2 TWP,Auditor General,,TIM DEFOOR,467,48,6,521
Warren,CONEWANGO #2 TWP,Auditor General,,REECE SMITH,17,0,0,17
Warren,CONEWANGO #2 TWP,Auditor General,,ERIC K ANTON,3,2,0,5
Warren,CONEWANGO #2 TWP,Auditor General,,BOB GOODRICH,15,4,0,19
Warren,CONEWANGO #2 TWP,Auditor General,,Write-ins,1,0,0,1
Warren,CONEWANGO #2 TWP,State Treasurer,,ERIN MCCLELLAND,119,70,0,189
Warren,CONEWANGO #2 TWP,State Treasurer,,STACY GARRITY,478,44,5,527
Warren,CONEWANGO #2 TWP,State Treasurer,,NICKOLAS CIESIELSKI,14,1,0,15
Warren,CONEWANGO #2 TWP,State Treasurer,,TROY BOWMAN,8,2,0,10
Warren,CONEWANGO #2 TWP,State Treasurer,,CHRIS FOSTER,3,0,0,3
Warren,CONEWANGO #2 TWP,State Treasurer,,Write-ins,0,0,0,0
Warren,CONEWANGO #2 TWP,U.S. House,15,ZACH WOMER,126,61,0,187
Warren,CONEWANGO #2 TWP,U.S. House,15,GLENN GT THOMPSON,491,54,7,552
Warren,CONEWANGO #2 TWP,U.S. House,15,Write-ins,0,1,0,1
Warren,CONEWANGO #2 TWP,State Senate,21,SCOTT E HUTCHINSON,487,70,6,563
Warren,CONEWANGO #2 TWP,State Senate,21,Write-ins,5,5,0,10
Warren,CONEWANGO #2 TWP,General Assembly,65,ERIN WILLMAN,145,61,0,206
Warren,CONEWANGO #2 TWP,General Assembly,65,KATHY L RAPP,481,57,7,545
Warren,CONEWANGO #2 TWP,General Assembly,65,Write-ins,2,0,0,2
Warren,DEERFIELD TWP,President,,Kamala D. Harris,37,20,1,58
Warren,DEERFIELD TWP,President,,Donald J. Trump,95,27,1,123
Warren,DEERFIELD TWP,President,,Chase Oliver,0,0,0,0
Warren,DEERFIELD TWP,President,,Jill Stein,0,0,0,0
Warren,DEERFIELD TWP,President,,Write-ins,0,0,0,0
Warren,DEERFIELD TWP,U.S. Senate,,ROBERT P CASEY JR,39,22,1,62
Warren,DEERFIELD TWP,U.S. Senate,,DAVE MCCORMICK,92,24,1,117
Warren,DEERFIELD TWP,U.S. Senate,,JOHN C THOMAS,0,1,0,1
Warren,DEERFIELD TWP,U.S. Senate,,LEILA HAZOU,0,0,0,0
Warren,DEERFIELD TWP,U.S. Senate,,MARTY SELKER,0,1,0,1
Warren,DEERFIELD TWP,U.S. Senate,,Write-ins,0,0,0,0
Warren,DEERFIELD TWP,Attorney General,,EUGENE DEPASQUALE,32,14,1,47
Warren,DEERFIELD TWP,Attorney General,,DAVE SUNDAY,96,29,1,126
Warren,DEERFIELD TWP,Attorney General,,ROBERT COWBURN,0,0,0,0
Warren,DEERFIELD TWP,Attorney General,,RICHARD L WEISS,1,2,0,3
Warren,DEERFIELD TWP,Attorney General,,JUSTIN L MAGILL,1,1,0,2
Warren,DEERFIELD TWP,Attorney General,,ERIC L SETTLE,1,2,0,3
Warren,DEERFIELD TWP,Attorney General,,Write-ins,0,0,0,0
Warren,DEERFIELD TWP,Auditor General,,MALCOLM KENYATTA,28,15,1,44
Warren,DEERFIELD TWP,Auditor General,,TIM DEFOOR,97,28,1,126
Warren,DEERFIELD TWP,Auditor General,,REECE SMITH,1,1,0,2
Warren,DEERFIELD TWP,Auditor General,,ERIC K ANTON,1,0,0,1
Warren,DEERFIELD TWP,Auditor General,,BOB GOODRICH,1,2,0,3
Warren,DEERFIELD TWP,Auditor General,,Write-ins,0,0,0,0
Warren,DEERFIELD TWP,State Treasurer,,ERIN MCCLELLAND,30,16,1,47
Warren,DEERFIELD TWP,State Treasurer,,STACY GARRITY,98,29,1,128
Warren,DEERFIELD TWP,State Treasurer,,NICKOLAS CIESIELSKI,1,0,0,1
Warren,DEERFIELD TWP,State Treasurer,,TROY BOWMAN,1,0,0,1
Warren,DEERFIELD TWP,State Treasurer,,CHRIS FOSTER,0,2,0,2
Warren,DEERFIELD TWP,State Treasurer,,Write-ins,0,0,0,0
Warren,DEERFIELD TWP,U.S. House,15,ZACH WOMER,30,18,1,49
Warren,DEERFIELD TWP,U.S. House,15,GLENN GT THOMPSON,101,27,0,128
Warren,DEERFIELD TWP,U.S. House,15,Write-ins,1,1,0,2
Warren,DEERFIELD TWP,State Senate,21,SCOTT E HUTCHINSON,100,37,1,138
Warren,DEERFIELD TWP,State Senate,21,Write-ins,0,1,0,1
Warren,DEERFIELD TWP,General Assembly,65,ERIN WILLMAN,35,18,1,54
Warren,DEERFIELD TWP,General Assembly,65,KATHY L RAPP,95,29,1,125
Warren,DEERFIELD TWP,General Assembly,65,Write-ins,0,0,0,0
Warren,ELDRED TWP,President,,Kamala D. Harris,37,20,4,61
Warren,ELDRED TWP,President,,Donald J. Trump,207,24,1,232
Warren,ELDRED TWP,President,,Chase Oliver,0,0,0,0
Warren,ELDRED TWP,President,,Jill Stein,1,0,0,1
Warren,ELDRED TWP,President,,Write-ins,0,0,0,0
Warren,ELDRED TWP,U.S. Senate,,ROBERT P CASEY JR,49,22,4,75
Warren,ELDRED TWP,U.S. Senate,,DAVE MCCORMICK,188,20,1,209
Warren,ELDRED TWP,U.S. Senate,,JOHN C THOMAS,4,0,0,4
Warren,ELDRED TWP,U.S. Senate,,LEILA HAZOU,1,1,0,2
Warren,ELDRED TWP,U.S. Senate,,MARTY SELKER,1,0,0,1
Warren,ELDRED TWP,U.S. Senate,,Write-ins,0,0,0,0
Warren,ELDRED TWP,Attorney General,,EUGENE DEPASQUALE,32,22,3,57
Warren,ELDRED TWP,Attorney General,,DAVE SUNDAY,198,21,1,220
Warren,ELDRED TWP,Attorney General,,ROBERT COWBURN,2,0,0,2
Warren,ELDRED TWP,Attorney General,,RICHARD L WEISS,5,0,0,5
Warren,ELDRED TWP,Attorney General,,JUSTIN L MAGILL,3,0,0,3
Warren,ELDRED TWP,Attorney General,,ERIC L SETTLE,2,0,0,2
Warren,ELDRED TWP,Attorney General,,Write-ins,0,0,0,0
Warren,ELDRED TWP,Auditor General,,MALCOLM KENYATTA,30,23,3,56
Warren,ELDRED TWP,Auditor General,,TIM DEFOOR,201,20,1,222
Warren,ELDRED TWP,Auditor General,,REECE SMITH,4,0,0,4
Warren,ELDRED TWP,Auditor General,,ERIC K ANTON,1,0,0,1
Warren,ELDRED TWP,Auditor General,,BOB GOODRICH,6,0,0,6
Warren,ELDRED TWP,Auditor General,,Write-ins,0,0,0,0
Warren,ELDRED TWP,State Treasurer,,ERIN MCCLELLAND,31,22,4,57
Warren,ELDRED TWP,State Treasurer,,STACY GARRITY,202,22,1,225
Warren,ELDRED TWP,State Treasurer,,NICKOLAS CIESIELSKI,4,0,0,4
Warren,ELDRED TWP,State Treasurer,,TROY BOWMAN,4,0,0,4
Warren,ELDRED TWP,State Treasurer,,CHRIS FOSTER,2,0,0,2
Warren,ELDRED TWP,State Treasurer,,Write-ins,0,0,0,0
Warren,ELDRED TWP,U.S. House,15,ZACH WOMER,28,19,3,50
Warren,ELDRED TWP,U.S. House,15,GLENN GT THOMPSON,213,23,0,236
Warren,ELDRED TWP,U.S. House,15,Write-ins,0,0,0,0
Warren,ELDRED TWP,State Senate,21,SCOTT E HUTCHINSON,209,32,0,241
Warren,ELDRED TWP,State Senate,21,Write-ins,1,0,0,1
Warren,ELDRED TWP,General Assembly,65,ERIN WILLMAN,27,17,4,48
Warren,ELDRED TWP,General Assembly,65,KATHY L RAPP,216,21,1,238
Warren,ELDRED TWP,General Assembly,65,Write-ins,0,0,0,0
Warren,ELK TWP,President,,Kamala D. Harris,51,32,1,84
Warren,ELK TWP,President,,Donald J. Trump,221,39,2,262
Warren,ELK TWP,President,,Chase Oliver,2,2,0,4
Warren,ELK TWP,President,,Jill Stein,1,0,0,1
Warren,ELK TWP,President,,Write-ins,1,0,0,1
Warren,ELK TWP,U.S. Senate,,ROBERT P CASEY JR,56,30,1,87
Warren,ELK TWP,U.S. Senate,,DAVE MCCORMICK,212,41,2,255
Warren,ELK TWP,U.S. Senate,,JOHN C THOMAS,3,1,0,4
Warren,ELK TWP,U.S. Senate,,LEILA HAZOU,2,0,0,2
Warren,ELK TWP,U.S. Senate,,MARTY SELKER,0,0,0,0
Warren,ELK TWP,U.S. Senate,,Write-ins,0,0,0,0
Warren,ELK TWP,Attorney General,,EUGENE DEPASQUALE,46,27,1,74
Warren,ELK TWP,Attorney General,,DAVE SUNDAY,217,43,2,262
Warren,ELK TWP,Attorney General,,ROBERT COWBURN,3,0,0,3
Warren,ELK TWP,Attorney General,,RICHARD L WEISS,2,0,0,2
Warren,ELK TWP,Attorney General,,JUSTIN L MAGILL,2,1,0,3
Warren,ELK TWP,Attorney General,,ERIC L SETTLE,0,0,0,0
Warren,ELK TWP,Attorney General,,Write-ins,0,0,0,0
Warren,ELK TWP,Auditor General,,MALCOLM KENYATTA,31,25,1,57
Warren,ELK TWP,Auditor General,,TIM DEFOOR,211,36,1,248
Warren,ELK TWP,Auditor General,,REECE SMITH,3,2,1,6
Warren,ELK TWP,Auditor General,,ERIC K ANTON,1,0,0,1
Warren,ELK TWP,Auditor General,,BOB GOODRICH,1,2,0,3
Warren,ELK TWP,Auditor General,,Write-ins,0,0,0,0
Warren,ELK TWP,State Treasurer,,ERIN MCCLELLAND,54,23,1,78
Warren,ELK TWP,State Treasurer,,STACY GARRITY,214,41,2,257
Warren,ELK TWP,State Treasurer,,NICKOLAS CIESIELSKI,2,1,0,3
Warren,ELK TWP,State Treasurer,,TROY BOWMAN,2,1,0,3
Warren,ELK TWP,State Treasurer,,CHRIS FOSTER,0,0,0,0
Warren,ELK TWP,State Treasurer,,Write-ins,0,0,0,0
Warren,ELK TWP,U.S. House,15,ZACH WOMER,48,28,0,76
Warren,ELK TWP,U.S. House,15,GLENN GT THOMPSON,222,41,4,267
Warren,ELK TWP,U.S. House,15,Write-ins,0,0,0,0
Warren,ELK TWP,State Senate,21,SCOTT E HUTCHINSON,226,48,3,277
Warren,ELK TWP,State Senate,21,Write-ins,6,1,0,7
Warren,ELK TWP,General Assembly,65,ERIN WILLMAN,55,28,0,83
Warren,ELK TWP,General Assembly,65,KATHY L RAPP,216,42,2,260
Warren,ELK TWP,General Assembly,65,Write-ins,2,0,0,2
Warren,FARMINGTON TWP,President,,Kamala D. Harris,94,47,1,142
Warren,FARMINGTON TWP,President,,Donald J. Trump,435,71,3,509
Warren,FARMINGTON TWP,President,,Chase Oliver,2,0,0,2
Warren,FARMINGTON TWP,President,,Jill Stein,0,0,0,0
Warren,FARMINGTON TWP,President,,Write-ins,1,1,0,2
Warren,FARMINGTON TWP,U.S. Senate,,ROBERT P CASEY JR,96,48,1,145
Warren,FARMINGTON TWP,U.S. Senate,,DAVE MCCORMICK,419,68,3,490
Warren,FARMINGTON TWP,U.S. Senate,,JOHN C THOMAS,7,1,0,8
Warren,FARMINGTON TWP,U.S. Senate,,LEILA HAZOU,4,1,0,5
Warren,FARMINGTON TWP,U.S. Senate,,MARTY SELKER,3,2,0,5
Warren,FARMINGTON TWP,U.S. Senate,,Write-ins,0,0,0,0
Warren,FARMINGTON TWP,Attorney General,,EUGENE DEPASQUALE,73,42,1,116
Warren,FARMINGTON TWP,Attorney General,,DAVE SUNDAY,436,72,3,511
Warren,FARMINGTON TWP,Attorney General,,ROBERT COWBURN,10,1,0,11
Warren,FARMINGTON TWP,Attorney General,,RICHARD L WEISS,1,0,0,1
Warren,FARMINGTON TWP,Attorney General,,JUSTIN L MAGILL,3,1,0,4
Warren,FARMINGTON TWP,Attorney General,,ERIC L SETTLE,3,0,0,3
Warren,FARMINGTON TWP,Attorney General,,Write-ins,0,0,0,0
Warren,FARMINGTON TWP,Auditor General,,MALCOLM KENYATTA,80,37,1,118
Warren,FARMINGTON TWP,Auditor General,,TIM DEFOOR,424,79,3,506
Warren,FARMINGTON TWP,Auditor General,,REECE SMITH,12,0,0,12
Warren,FARMINGTON TWP,Auditor General,,ERIC K ANTON,3,0,0,3
Warren,FARMINGTON TWP,Auditor General,,BOB GOODRICH,5,1,0,6
Warren,FARMINGTON TWP,Auditor General,,Write-ins,0,0,0,0
Warren,FARMINGTON TWP,State Treasurer,,ERIN MCCLELLAND,79,39,1,119
Warren,FARMINGTON TWP,State Treasurer,,STACY GARRITY,428,78,3,509
Warren,FARMINGTON TWP,State Treasurer,,NICKOLAS CIESIELSKI,6,1,0,7
Warren,FARMINGTON TWP,State Treasurer,,TROY BOWMAN,7,0,0,7
Warren,FARMINGTON TWP,State Treasurer,,CHRIS FOSTER,3,0,0,3
Warren,FARMINGTON TWP,State Treasurer,,Write-ins,0,0,0,0
Warren,FARMINGTON TWP,U.S. House,15,ZACH WOMER,71,40,1,112
Warren,FARMINGTON TWP,U.S. House,15,GLENN GT THOMPSON,455,75,3,533
Warren,FARMINGTON TWP,U.S. House,15,Write-ins,2,0,0,2
Warren,FARMINGTON TWP,State Senate,21,SCOTT E HUTCHINSON,453,94,3,550
Warren,FARMINGTON TWP,State Senate,21,Write-ins,3,0,0,3
Warren,FARMINGTON TWP,General Assembly,65,ERIN WILLMAN,98,41,1,140
Warren,FARMINGTON TWP,General Assembly,65,KATHY L RAPP,429,72,3,504
Warren,FARMINGTON TWP,General Assembly,65,Write-ins,1,1,0,2
Warren,FREEHOLD TWP,President,,Kamala D. Harris,61,29,3,93
Warren,FREEHOLD TWP,President,,Donald J. Trump,414,43,2,459
Warren,FREEHOLD TWP,President,,Chase Oliver,2,0,0,2
Warren,FREEHOLD TWP,President,,Jill Stein,0,1,0,1
Warren,FREEHOLD TWP,President,,Write-ins,0,1,0,1
Warren,FREEHOLD TWP,U.S. Senate,,ROBERT P CASEY JR,83,29,3,115
Warren,FREEHOLD TWP,U.S. Senate,,DAVE MCCORMICK,385,43,2,430
Warren,FREEHOLD TWP,U.S. Senate,,JOHN C THOMAS,6,0,0,6
Warren,FREEHOLD TWP,U.S. Senate,,LEILA HAZOU,2,0,0,2
Warren,FREEHOLD TWP,U.S. Senate,,MARTY SELKER,1,0,0,1
Warren,FREEHOLD TWP,U.S. Senate,,Write-ins,0,0,0,0
Warren,FREEHOLD TWP,Attorney General,,EUGENE DEPASQUALE,41,20,3,64
Warren,FREEHOLD TWP,Attorney General,,DAVE SUNDAY,417,51,2,470
Warren,FREEHOLD TWP,Attorney General,,ROBERT COWBURN,4,0,0,4
Warren,FREEHOLD TWP,Attorney General,,RICHARD L WEISS,5,0,0,5
Warren,FREEHOLD TWP,Attorney General,,JUSTIN L MAGILL,3,1,0,4
Warren,FREEHOLD TWP,Attorney General,,ERIC L SETTLE,0,0,1,1
Warren,FREEHOLD TWP,Attorney General,,Write-ins,0,0,0,0
Warren,FREEHOLD TWP,Auditor General,,MALCOLM KENYATTA,51,27,3,81
Warren,FREEHOLD TWP,Auditor General,,TIM DEFOOR,397,48,0,445
Warren,FREEHOLD TWP,Auditor General,,REECE SMITH,10,0,0,10
Warren,FREEHOLD TWP,Auditor General,,ERIC K ANTON,0,0,0,0
Warren,FREEHOLD TWP,Auditor General,,BOB GOODRICH,7,1,0,8
Warren,FREEHOLD TWP,Auditor General,,Write-ins,0,0,0,0
Warren,FREEHOLD TWP,State Treasurer,,ERIN MCCLELLAND,57,27,3,87
Warren,FREEHOLD TWP,State Treasurer,,STACY GARRITY,402,45,2,449
Warren,FREEHOLD TWP,State Treasurer,,NICKOLAS CIESIELSKI,3,2,0,5
Warren,FREEHOLD TWP,State Treasurer,,TROY BOWMAN,3,0,0,3
Warren,FREEHOLD TWP,State Treasurer,,CHRIS FOSTER,3,0,0,3
Warren,FREEHOLD TWP,State Treasurer,,Write-ins,0,0,0,0
Warren,FREEHOLD TWP,U.S. House,15,ZACH WOMER,50,23,3,76
Warren,FREEHOLD TWP,U.S. House,15,GLENN GT THOMPSON,416,46,2,464
Warren,FREEHOLD TWP,U.S. House,15,Write-ins,3,1,0,4
Warren,FREEHOLD TWP,State Senate,21,SCOTT E HUTCHINSON,390,58,1,449
Warren,FREEHOLD TWP,State Senate,21,Write-ins,5,2,0,7
Warren,FREEHOLD TWP,General Assembly,65,ERIN WILLMAN,54,18,3,75
Warren,FREEHOLD TWP,General Assembly,65,KATHY L RAPP,418,52,2,472
Warren,FREEHOLD TWP,General Assembly,65,Write-ins,2,1,0,3
Warren,GLADE TWP,President,,Kamala D. Harris,230,135,4,369
Warren,GLADE TWP,President,,Donald J. Trump,736,147,5,888
Warren,GLADE TWP,President,,Chase Oliver,3,1,0,4
Warren,GLADE TWP,President,,Jill Stein,3,0,0,3
Warren,GLADE TWP,President,,Write-ins,11,1,0,12
Warren,GLADE TWP,U.S. Senate,,ROBERT P CASEY JR,244,136,3,383
Warren,GLADE TWP,U.S. Senate,,DAVE MCCORMICK,710,141,5,856
Warren,GLADE TWP,U.S. Senate,,JOHN C THOMAS,9,2,0,11
Warren,GLADE TWP,U.S. Senate,,LEILA HAZOU,3,0,1,4
Warren,GLADE TWP,U.S. Senate,,MARTY SELKER,7,1,0,8
Warren,GLADE TWP,U.S. Senate,,Write-ins,1,0,0,1
Warren,GLADE TWP,Attorney General,,EUGENE DEPASQUALE,199,124,4,327
Warren,GLADE TWP,Attorney General,,DAVE SUNDAY,740,153,5,898
Warren,GLADE TWP,Attorney General,,ROBERT COWBURN,10,1,0,11
Warren,GLADE TWP,Attorney General,,RICHARD L WEISS,6,0,0,6
Warren,GLADE TWP,Attorney General,,JUSTIN L MAGILL,14,2,0,16
Warren,GLADE TWP,Attorney General,,ERIC L SETTLE,3,1,0,4
Warren,GLADE TWP,Attorney General,,Write-ins,1,0,0,1
Warren,GLADE TWP,Auditor General,,MALCOLM KENYATTA,194,120,4,318
Warren,GLADE TWP,Auditor General,,TIM DEFOOR,731,147,7,885
Warren,GLADE TWP,Auditor General,,REECE SMITH,13,2,0,15
Warren,GLADE TWP,Auditor General,,ERIC K ANTON,10,3,0,13
Warren,GLADE TWP,Auditor General,,BOB GOODRICH,10,4,0,14
Warren,GLADE TWP,Auditor General,,Write-ins,3,0,0,3
Warren,GLADE TWP,State Treasurer,,ERIN MCCLELLAND,201,123,4,328
Warren,GLADE TWP,State Treasurer,,STACY GARRITY,744,145,5,894
Warren,GLADE TWP,State Treasurer,,NICKOLAS CIESIELSKI,12,4,0,16
Warren,GLADE TWP,State Treasurer,,TROY BOWMAN,9,1,0,10
Warren,GLADE TWP,State Treasurer,,CHRIS FOSTER,2,2,0,4
Warren,GLADE TWP,State Treasurer,,Write-ins,1,1,0,2
Warren,GLADE TWP,U.S. House,15,ZACH WOMER,197,123,4,324
Warren,GLADE TWP,U.S. House,15,GLENN GT THOMPSON,765,150,5,920
Warren,GLADE TWP,U.S. House,15,Write-ins,1,0,0,1
Warren,GLADE TWP,State Senate,21,SCOTT E HUTCHINSON,780,202,4,986
Warren,GLADE TWP,State Senate,21,Write-ins,26,11,0,37
Warren,GLADE TWP,General Assembly,65,ERIN WILLMAN,252,130,3,385
Warren,GLADE TWP,General Assembly,65,KATHY L RAPP,703,141,6,850
Warren,GLADE TWP,General Assembly,65,Write-ins,9,0,0,9
Warren,LIMESTONE TWP,President,,Kamala D. Harris,47,18,0,65
Warren,LIMESTONE TWP,President,,Donald J. Trump,119,20,1,140
Warren,LIMESTONE TWP,President,,Chase Oliver,1,0,0,1
Warren,LIMESTONE TWP,President,,Jill Stein,1,0,0,1
Warren,LIMESTONE TWP,President,,Write-ins,0,0,0,0
Warren,LIMESTONE TWP,U.S. Senate,,ROBERT P CASEY JR,49,16,1,66
Warren,LIMESTONE TWP,U.S. Senate,,DAVE MCCORMICK,116,20,0,136
Warren,LIMESTONE TWP,U.S. Senate,,JOHN C THOMAS,2,0,0,2
Warren,LIMESTONE TWP,U.S. Senate,,LEILA HAZOU,2,0,0,2
Warren,LIMESTONE TWP,U.S. Senate,,MARTY SELKER,2,0,0,2
Warren,LIMESTONE TWP,U.S. Senate,,Write-ins,1,0,0,1
Warren,LIMESTONE TWP,Attorney General,,EUGENE DEPASQUALE,42,19,0,61
Warren,LIMESTONE TWP,Attorney General,,DAVE SUNDAY,122,19,0,141
Warren,LIMESTONE TWP,Attorney General,,ROBERT COWBURN,1,0,0,1
Warren,LIMESTONE TWP,Attorney General,,RICHARD L WEISS,2,0,0,2
Warren,LIMESTONE TWP,Attorney General,,JUSTIN L MAGILL,1,0,0,1
Warren,LIMESTONE TWP,Attorney General,,ERIC L SETTLE,0,0,0,0
Warren,LIMESTONE TWP,Attorney General,,Write-ins,0,0,0,0
Warren,LIMESTONE TWP,Auditor General,,MALCOLM KENYATTA,43,16,0,59
Warren,LIMESTONE TWP,Auditor General,,TIM DEFOOR,118,19,0,137
Warren,LIMESTONE TWP,Auditor General,,REECE SMITH,2,0,0,2
Warren,LIMESTONE TWP,Auditor General,,ERIC K ANTON,0,0,0,0
Warren,LIMESTONE TWP,Auditor General,,BOB GOODRICH,4,0,0,4
Warren,LIMESTONE TWP,Auditor General,,Write-ins,0,0,0,0
Warren,LIMESTONE TWP,State Treasurer,,ERIN MCCLELLAND,41,17,0,58
Warren,LIMESTONE TWP,State Treasurer,,STACY GARRITY,124,20,0,144
Warren,LIMESTONE TWP,State Treasurer,,NICKOLAS CIESIELSKI,1,1,0,2
Warren,LIMESTONE TWP,State Treasurer,,TROY BOWMAN,0,0,0,0
Warren,LIMESTONE TWP,State Treasurer,,CHRIS FOSTER,0,0,0,0
Warren,LIMESTONE TWP,State Treasurer,,Write-ins,0,0,0,0
Warren,LIMESTONE TWP,U.S. House,15,ZACH WOMER,46,16,0,62
Warren,LIMESTONE TWP,U.S. House,15,GLENN GT THOMPSON,118,21,1,140
Warren,LIMESTONE TWP,U.S. House,15,Write-ins,0,0,0,0
Warren,LIMESTONE TWP,State Senate,21,SCOTT E HUTCHINSON,124,24,1,149
Warren,LIMESTONE TWP,State Senate,21,Write-ins,1,3,0,4
Warren,LIMESTONE TWP,General Assembly,65,ERIN WILLMAN,43,16,0,59
Warren,LIMESTONE TWP,General Assembly,65,KATHY L RAPP,123,19,1,143
Warren,LIMESTONE TWP,General Assembly,65,Write-ins,1,2,0,3
Warren,MEAD TWP,President,,Kamala D. Harris,128,55,1,184
Warren,MEAD TWP,President,,Donald J. Trump,455,74,0,529
Warren,MEAD TWP,President,,Chase Oliver,1,1,0,2
Warren,MEAD TWP,President,,Jill Stein,0,0,0,0
Warren,MEAD TWP,President,,Write-ins,1,0,0,1
Warren,MEAD TWP,U.S. Senate,,ROBERT P CASEY JR,139,56,1,196
Warren,MEAD TWP,U.S. Senate,,DAVE MCCORMICK,428,71,0,499
Warren,MEAD TWP,U.S. Senate,,JOHN C THOMAS,9,2,0,11
Warren,MEAD TWP,U.S. Senate,,LEILA HAZOU,5,0,0,5
Warren,MEAD TWP,U.S. Senate,,MARTY SELKER,2,1,0,3
Warren,MEAD TWP,U.S. Senate,,Write-ins,0,0,0,0
Warren,MEAD TWP,Attorney General,,EUGENE DEPASQUALE,107,49,1,157
Warren,MEAD TWP,Attorney General,,DAVE SUNDAY,450,74,0,524
Warren,MEAD TWP,Attorney General,,ROBERT COWBURN,8,3,0,11
Warren,MEAD TWP,Attorney General,,RICHARD L WEISS,5,1,0,6
Warren,MEAD TWP,Attorney General,,JUSTIN L MAGILL,3,1,0,4
Warren,MEAD TWP,Attorney General,,ERIC L SETTLE,2,0,0,2
Warren,MEAD TWP,Attorney General,,Write-ins,0,0,0,0
Warren,MEAD TWP,Auditor General,,MALCOLM KENYATTA,116,48,1,165
Warren,MEAD TWP,Auditor General,,TIM DEFOOR,434,72,1,507
Warren,MEAD TWP,Auditor General,,REECE SMITH,9,4,0,13
Warren,MEAD TWP,Auditor General,,ERIC K ANTON,0,2,0,2
Warren,MEAD TWP,Auditor General,,BOB GOODRICH,8,1,0,9
Warren,MEAD TWP,Auditor General,,Write-ins,0,0,0,0
Warren,MEAD TWP,State Treasurer,,ERIN MCCLELLAND,121,49,1,171
Warren,MEAD TWP,State Treasurer,,STACY GARRITY,437,75,0,512
Warren,MEAD TWP,State Treasurer,,NICKOLAS CIESIELSKI,5,1,0,6
Warren,MEAD TWP,State Treasurer,,TROY BOWMAN,5,1,0,6
Warren,MEAD TWP,State Treasurer,,CHRIS FOSTER,4,0,0,4
Warren,MEAD TWP,State Treasurer,,Write-ins,0,0,0,0
Warren,MEAD TWP,U.S. House,15,ZACH WOMER,115,48,1,164
Warren,MEAD TWP,U.S. House,15,GLENN GT THOMPSON,459,76,0,535
Warren,MEAD TWP,U.S. House,15,Write-ins,0,0,0,0
Warren,MEAD TWP,State Senate,21,SCOTT E HUTCHINSON,442,91,1,534
Warren,MEAD TWP,State Senate,21,Write-ins,7,3,0,10
Warren,MEAD TWP,General Assembly,65,ERIN WILLMAN,124,47,1,172
Warren,MEAD TWP,General Assembly,65,KATHY L RAPP,458,76,0,534
Warren,MEAD TWP,General Assembly,65,Write-ins,2,0,0,2
Warren,PINE GROVE TWP,President,,Kamala D. Harris,295,212,2,509
Warren,PINE GROVE TWP,President,,Donald J. Trump,899,212,3,1114
Warren,PINE GROVE TWP,President,,Chase Oliver,7,1,0,8
Warren,PINE GROVE TWP,President,,Jill Stein,5,3,0,8
Warren,PINE GROVE TWP,President,,Write-ins,7,1,0,8
Warren,PINE GROVE TWP,U.S. Senate,,ROBERT P CASEY JR,295,204,2,501
Warren,PINE GROVE TWP,U.S. Senate,,DAVE MCCORMICK,885,205,3,1093
Warren,PINE GROVE TWP,U.S. Senate,,JOHN C THOMAS,21,7,0,28
