county,precinct,office,district,candidate,party,votes,election_day,absentee
Clinton,0011 FLEMINGTON BOROUGH,U.S. House,12.0,MARC FRIEDENBERG,DEM,198,189.0,9.0
Clinton,0011 FLEMINGTON BOROUGH,U.S. House,12.0,TOM MARINO,REP,272,266.0,6.0
Clinton,0011 FLEMINGTON BOROUGH,U.S. House,12.0,WRITE-INS,,0,0.0,0.0
Clinton,0011 FLEMINGTON BOROUGH,State House,76.0,MIKE HANNA,DEM,255,245.0,10.0
Clinton,0011 FLEMINGTON BOROUGH,State House,76.0,STEPHANIE BOROWICZ,REP,221,216.0,5.0
Clinton,0011 FLEMINGTON BOROUGH,State House,76.0,WRITE-INS,,1,1.0,0.0
Clinton,0012 GALLAGHER TOWNSHIP,Registered Voters,,,,272,,
Clinton,0012 GALLAGHER TOWNSHIP,Ballots Cast,,,,163,155.0,8.0
Clinton,0012 GALLAGHER TOWNSHIP,STRAIGHT PARTY,,DEMOCRATIC,DEM,11,11.0,0.0
Clinton,0012 GALLAGHER TOWNSHIP,STRAIGHT PARTY,,REPUBLICAN,REP,76,75.0,1.0
Clinton,0012 GALLAGHER TOWNSHIP,STRAIGHT PARTY,,GREEN PARTY,GRN,0,0.0,0.0
Clinton,0012 GALLAGHER TOWNSHIP,STRAIGHT PARTY,,LIBERTARIAN,LIB,0,0.0,0.0
Clinton,0012 GALLAGHER TOWNSHIP,U.S. Senate,,"BOB CASEY, JR",DEM,36,31.0,5.0
Clinton,0012 GALLAGHER TOWNSHIP,U.S. Senate,,LOU BARLETTA,REP,124,120.0,3.0
Clinton,0012 GALLAGHER TOWNSHIP,U.S. Senate,,NEAL GALE,GRN,0,0.0,0.0
Clinton,0012 GALLAGHER TOWNSHIP,U.S. Senate,,"DALE R KERNS, JR",LIB,1,1.0,0.0
Clinton,0012 GALLAGHER TOWNSHIP,U.S. Senate,,WRITE-INS,,0,0.0,0.0
Clinton,0012 GALLAGHER TOWNSHIP,Governor,,TOM WOLF,DEM,39,35.0,4.0
Clinton,0012 GALLAGHER TOWNSHIP,Governor,,SCOTT R WAGNER,REP,123,118.0,4.0
Clinton,0012 GALLAGHER TOWNSHIP,Governor,,PAUL GLOVER,GRN,0,0.0,0.0
Clinton,0012 GALLAGHER TOWNSHIP,Governor,,KEN V KRAWCHUK,LIB,2,2.0,0.0
Clinton,0012 GALLAGHER TOWNSHIP,Governor,,WRITE-INS,,0,0.0,0.0
Clinton,0012 GALLAGHER TOWNSHIP,U.S. House,12.0,MARC FRIEDENBERG,DEM,28,24.0,4.0
Clinton,0012 GALLAGHER TOWNSHIP,U.S. House,12.0,TOM MARINO,REP,135,130.0,4.0
Clinton,0012 GALLAGHER TOWNSHIP,U.S. House,12.0,WRITE-INS,,0,0.0,0.0
Clinton,0012 GALLAGHER TOWNSHIP,State House,76.0,MIKE HANNA,DEM,47,41.0,6.0
Clinton,0012 GALLAGHER TOWNSHIP,State House,76.0,STEPHANIE BOROWICZ,REP,116,113.0,2.0
Clinton,0012 GALLAGHER TOWNSHIP,State House,76.0,WRITE-INS,,1,1.0,0.0
Clinton,0013 GREENE TOWNSHIP,Registered Voters,,,,671,,
Clinton,0013 GREENE TOWNSHIP,Ballots Cast,,,,441,427.0,14.0
Clinton,0013 GREENE TOWNSHIP,STRAIGHT PARTY,,DEMOCRATIC,DEM,38,36.0,2.0
Clinton,0013 GREENE TOWNSHIP,STRAIGHT PARTY,,REPUBLICAN,REP,211,204.0,7.0
Clinton,0013 GREENE TOWNSHIP,STRAIGHT PARTY,,GREEN PARTY,GRN,1,1.0,0.0
Clinton,0013 GREENE TOWNSHIP,STRAIGHT PARTY,,LIBERTARIAN,LIB,2,2.0,0.0
Clinton,0013 GREENE TOWNSHIP,U.S. Senate,,"BOB CASEY, JR",DEM,107,104.0,3.0
Clinton,0013 GREENE TOWNSHIP,U.S. Senate,,LOU BARLETTA,REP,316,305.0,11.0
Clinton,0013 GREENE TOWNSHIP,U.S. Senate,,NEAL GALE,GRN,2,2.0,0.0
Clinton,0013 GREENE TOWNSHIP,U.S. Senate,,"DALE R KERNS, JR",LIB,7,7.0,0.0
Clinton,0013 GREENE TOWNSHIP,U.S. Senate,,WRITE-INS,,1,1.0,0.0
Clinton,0013 GREENE TOWNSHIP,Governor,,TOM WOLF,DEM,127,123.0,4.0
Clinton,0013 GREENE TOWNSHIP,Governor,,SCOTT R WAGNER,REP,302,292.0,10.0
Clinton,0013 GREENE TOWNSHIP,Governor,,PAUL GLOVER,GRN,3,3.0,0.0
Clinton,0013 GREENE TOWNSHIP,Governor,,KEN V KRAWCHUK,LIB,7,7.0,0.0
Clinton,0013 GREENE TOWNSHIP,Governor,,WRITE-INS,,0,0.0,0.0
Clinton,0013 GREENE TOWNSHIP,U.S. House,12.0,MARC FRIEDENBERG,DEM,94,92.0,2.0
Clinton,0013 GREENE TOWNSHIP,U.S. House,12.0,TOM MARINO,REP,336,325.0,11.0
Clinton,0013 GREENE TOWNSHIP,U.S. House,12.0,WRITE-INS,,0,0.0,0.0
Clinton,0013 GREENE TOWNSHIP,State House,76.0,MIKE HANNA,DEM,125,121.0,4.0
Clinton,0013 GREENE TOWNSHIP,State House,76.0,STEPHANIE BOROWICZ,REP,311,301.0,10.0
Clinton,0013 GREENE TOWNSHIP,State House,76.0,WRITE-INS,,1,1.0,0.0
Clinton,0014 GRUGAN TOWNSHIP,Registered Voters,,,,33,,
Clinton,0014 GRUGAN TOWNSHIP,Ballots Cast,,,,22,21.0,1.0
Clinton,0014 GRUGAN TOWNSHIP,STRAIGHT PARTY,,DEMOCRATIC,DEM,1,1.0,0.0
Clinton,0014 GRUGAN TOWNSHIP,STRAIGHT PARTY,,REPUBLICAN,REP,6,6.0,0.0
Clinton,0014 GRUGAN TOWNSHIP,STRAIGHT PARTY,,GREEN PARTY,GRN,0,0.0,0.0
Clinton,0014 GRUGAN TOWNSHIP,STRAIGHT PARTY,,LIBERTARIAN,LIB,0,0.0,0.0
Clinton,0014 GRUGAN TOWNSHIP,U.S. Senate,,"BOB CASEY, JR",DEM,9,8.0,1.0
Clinton,0014 GRUGAN TOWNSHIP,U.S. Senate,,LOU BARLETTA,REP,12,12.0,0.0
Clinton,0014 GRUGAN TOWNSHIP,U.S. Senate,,NEAL GALE,GRN,0,0.0,0.0
Clinton,0014 GRUGAN TOWNSHIP,U.S. Senate,,"DALE R KERNS, JR",LIB,1,1.0,0.0
Clinton,0014 GRUGAN TOWNSHIP,U.S. Senate,,WRITE-INS,,0,0.0,0.0
Clinton,0014 GRUGAN TOWNSHIP,Governor,,TOM WOLF,DEM,11,10.0,1.0
Clinton,0014 GRUGAN TOWNSHIP,Governor,,SCOTT R WAGNER,REP,11,11.0,0.0
Clinton,0014 GRUGAN TOWNSHIP,Governor,,PAUL GLOVER,GRN,0,0.0,0.0
Clinton,0014 GRUGAN TOWNSHIP,Governor,,KEN V KRAWCHUK,LIB,0,0.0,0.0
Clinton,0014 GRUGAN TOWNSHIP,Governor,,WRITE-INS,,0,0.0,0.0
Clinton,0014 GRUGAN TOWNSHIP,U.S. House,12.0,MARC FRIEDENBERG,DEM,6,6.0,0.0
Clinton,0014 GRUGAN TOWNSHIP,U.S. House,12.0,TOM MARINO,REP,14,14.0,0.0
Clinton,0014 GRUGAN TOWNSHIP,U.S. House,12.0,WRITE-INS,,0,0.0,0.0
Clinton,0014 GRUGAN TOWNSHIP,State House,76.0,MIKE HANNA,DEM,13,12.0,1.0
Clinton,0014 GRUGAN TOWNSHIP,State House,76.0,STEPHANIE BOROWICZ,REP,9,9.0,0.0
Clinton,0014 GRUGAN TOWNSHIP,State House,76.0,WRITE-INS,,0,0.0,0.0
Clinton,0017 LAMAR TOWNSHIP,Registered Voters,,,,1306,,
Clinton,0017 LAMAR TOWNSHIP,Ballots Cast,,,,881,840.0,41.0
Clinton,0017 LAMAR TOWNSHIP,STRAIGHT PARTY,,DEMOCRATIC,DEM,150,138.0,12.0
Clinton,0017 LAMAR TOWNSHIP,STRAIGHT PARTY,,REPUBLICAN,REP,308,295.0,13.0
Clinton,0017 LAMAR TOWNSHIP,STRAIGHT PARTY,,GREEN PARTY,GRN,0,0.0,0.0
Clinton,0017 LAMAR TOWNSHIP,STRAIGHT PARTY,,LIBERTARIAN,LIB,2,2.0,0.0
Clinton,0017 LAMAR TOWNSHIP,U.S. Senate,,"BOB CASEY, JR",DEM,362,342.0,20.0
Clinton,0017 LAMAR TOWNSHIP,U.S. Senate,,LOU BARLETTA,REP,499,478.0,21.0
Clinton,0017 LAMAR TOWNSHIP,U.S. Senate,,NEAL GALE,GRN,4,4.0,0.0
Clinton,0017 LAMAR TOWNSHIP,U.S. Senate,,"DALE R KERNS, JR",LIB,4,4.0,0.0
Clinton,0017 LAMAR TOWNSHIP,U.S. Senate,,WRITE-INS,,1,1.0,0.0
Clinton,0017 LAMAR TOWNSHIP,Governor,,TOM WOLF,DEM,381,358.0,23.0
Clinton,0017 LAMAR TOWNSHIP,Governor,,SCOTT R WAGNER,REP,479,461.0,18.0
Clinton,0017 LAMAR TOWNSHIP,Governor,,PAUL GLOVER,GRN,5,5.0,0.0
Clinton,0017 LAMAR TOWNSHIP,Governor,,KEN V KRAWCHUK,LIB,8,8.0,0.0
Clinton,0017 LAMAR TOWNSHIP,Governor,,WRITE-INS,,1,1.0,0.0
Clinton,0017 LAMAR TOWNSHIP,U.S. House,12.0,MARC FRIEDENBERG,DEM,299,280.0,19.0
Clinton,0017 LAMAR TOWNSHIP,U.S. House,12.0,TOM MARINO,REP,567,547.0,20.0
Clinton,0017 LAMAR TOWNSHIP,U.S. House,12.0,WRITE-INS,,2,0.0,2.0
Clinton,0017 LAMAR TOWNSHIP,State House,76.0,MIKE HANNA,DEM,373,351.0,22.0
Clinton,0017 LAMAR TOWNSHIP,State House,76.0,STEPHANIE BOROWICZ,REP,501,482.0,19.0
Clinton,0017 LAMAR TOWNSHIP,State House,76.0,WRITE-INS,,0,0.0,0.0
Clinton,0018 LEIDY TOWNSHIP,Registered Voters,,,,113,,
Clinton,0018 LEIDY TOWNSHIP,Ballots Cast,,,,82,79.0,3.0
Clinton,0018 LEIDY TOWNSHIP,STRAIGHT PARTY,,DEMOCRATIC,DEM,4,3.0,1.0
Clinton,0018 LEIDY TOWNSHIP,STRAIGHT PARTY,,REPUBLICAN,REP,40,39.0,1.0
Clinton,0018 LEIDY TOWNSHIP,STRAIGHT PARTY,,GREEN PARTY,GRN,0,0.0,0.0
Clinton,0018 LEIDY TOWNSHIP,STRAIGHT PARTY,,LIBERTARIAN,LIB,0,0.0,0.0
Clinton,0018 LEIDY TOWNSHIP,U.S. Senate,,"BOB CASEY, JR",DEM,17,15.0,2.0
Clinton,0018 LEIDY TOWNSHIP,U.S. Senate,,LOU BARLETTA,REP,62,61.0,1.0
Clinton,0018 LEIDY TOWNSHIP,U.S. Senate,,NEAL GALE,GRN,0,0.0,0.0
Clinton,0018 LEIDY TOWNSHIP,U.S. Senate,,"DALE R KERNS, JR",LIB,0,0.0,0.0
Clinton,0018 LEIDY TOWNSHIP,U.S. Senate,,WRITE-INS,,0,0.0,0.0
Clinton,0018 LEIDY TOWNSHIP,Governor,,TOM WOLF,DEM,20,18.0,2.0
Clinton,0018 LEIDY TOWNSHIP,Governor,,SCOTT R WAGNER,REP,60,59.0,1.0
Clinton,0018 LEIDY TOWNSHIP,Governor,,PAUL GLOVER,GRN,0,0.0,0.0
Clinton,0018 LEIDY TOWNSHIP,Governor,,KEN V KRAWCHUK,LIB,0,0.0,0.0
Clinton,0018 LEIDY TOWNSHIP,Governor,,WRITE-INS,,0,0.0,0.0
Clinton,0018 LEIDY TOWNSHIP,U.S. House,12.0,MARC FRIEDENBERG,DEM,13,12.0,1.0
Clinton,0018 LEIDY TOWNSHIP,U.S. House,12.0,TOM MARINO,REP,66,65.0,1.0
Clinton,0018 LEIDY TOWNSHIP,U.S. House,12.0,WRITE-INS,,0,0.0,0.0
Clinton,0018 LEIDY TOWNSHIP,State House,76.0,MIKE HANNA,DEM,28,27.0,1.0
Clinton,0018 LEIDY TOWNSHIP,State House,76.0,STEPHANIE BOROWICZ,REP,51,50.0,1.0
Clinton,0018 LEIDY TOWNSHIP,State House,76.0,WRITE-INS,,0,0.0,0.0
Clinton,0028 LOCK HAVEN FIRST WARD,Registered Voters,,,,588,,
Clinton,0028 LOCK HAVEN FIRST WARD,Ballots Cast,,,,284,276.0,8.0
Clinton,0028 LOCK HAVEN FIRST WARD,STRAIGHT PARTY,,DEMOCRATIC,DEM,75,74.0,1.0
Clinton,0028 LOCK HAVEN FIRST WARD,STRAIGHT PARTY,,REPUBLICAN,REP,71,69.0,2.0
Clinton,0028 LOCK HAVEN FIRST WARD,STRAIGHT PARTY,,GREEN PARTY,GRN,1,1.0,0.0
Clinton,0028 LOCK HAVEN FIRST WARD,STRAIGHT PARTY,,LIBERTARIAN,LIB,4,4.0,0.0
Clinton,0028 LOCK HAVEN FIRST WARD,U.S. Senate,,"BOB CASEY, JR",DEM,142,138.0,4.0
Clinton,0028 LOCK HAVEN FIRST WARD,U.S. Senate,,LOU BARLETTA,REP,126,121.0,4.0
Clinton,0028 LOCK HAVEN FIRST WARD,U.S. Senate,,NEAL GALE,GRN,5,5.0,0.0
Clinton,0028 LOCK HAVEN FIRST WARD,U.S. Senate,,"DALE R KERNS, JR",LIB,8,8.0,0.0
Clinton,0028 LOCK HAVEN FIRST WARD,U.S. Senate,,WRITE-INS,,0,0.0,0.0
Clinton,0028 LOCK HAVEN FIRST WARD,Governor,,TOM WOLF,DEM,147,142.0,5.0
Clinton,0028 LOCK HAVEN FIRST WARD,Governor,,SCOTT R WAGNER,REP,127,123.0,3.0
Clinton,0028 LOCK HAVEN FIRST WARD,Governor,,PAUL GLOVER,GRN,1,1.0,0.0
Clinton,0028 LOCK HAVEN FIRST WARD,Governor,,KEN V KRAWCHUK,LIB,10,10.0,0.0
Clinton,0028 LOCK HAVEN FIRST WARD,Governor,,WRITE-INS,,0,0.0,0.0
Clinton,0028 LOCK HAVEN FIRST WARD,U.S. House,12.0,MARC FRIEDENBERG,DEM,136,131.0,4.0
Clinton,0028 LOCK HAVEN FIRST WARD,U.S. House,12.0,TOM MARINO,REP,146,142.0,4.0
Clinton,0028 LOCK HAVEN FIRST WARD,U.S. House,12.0,WRITE-INS,,0,0.0,0.0
Clinton,0028 LOCK HAVEN FIRST WARD,State House,76.0,MIKE HANNA,DEM,161,157.0,4.0
Clinton,0028 LOCK HAVEN FIRST WARD,State House,76.0,STEPHANIE BOROWICZ,REP,124,119.0,4.0
Clinton,0028 LOCK HAVEN FIRST WARD,State House,76.0,WRITE-INS,,0,0.0,0.0
Clinton,0029 LOCK HAVEN SECOND WARD,Registered Voters,,,,337,,
Clinton,0029 LOCK HAVEN SECOND WARD,Ballots Cast,,,,130,126.0,4.0
Clinton,0029 LOCK HAVEN SECOND WARD,STRAIGHT PARTY,,DEMOCRATIC,DEM,45,44.0,1.0
Clinton,0029 LOCK HAVEN SECOND WARD,STRAIGHT PARTY,,REPUBLICAN,REP,25,24.0,1.0
Clinton,0029 LOCK HAVEN SECOND WARD,STRAIGHT PARTY,,GREEN PARTY,GRN,0,0.0,0.0
Clinton,0029 LOCK HAVEN SECOND WARD,STRAIGHT PARTY,,LIBERTARIAN,LIB,0,0.0,0.0
Clinton,0029 LOCK HAVEN SECOND WARD,U.S. Senate,,"BOB CASEY, JR",DEM,76,75.0,1.0
Clinton,0029 LOCK HAVEN SECOND WARD,U.S. Senate,,LOU BARLETTA,REP,47,44.0,3.0
Clinton,0029 LOCK HAVEN SECOND WARD,U.S. Senate,,NEAL GALE,GRN,1,1.0,0.0
Clinton,0029 LOCK HAVEN SECOND WARD,U.S. Senate,,"DALE R KERNS, JR",LIB,3,3.0,0.0
Clinton,0029 LOCK HAVEN SECOND WARD,U.S. Senate,,WRITE-INS,,0,0.0,0.0
Clinton,0029 LOCK HAVEN SECOND WARD,Governor,,TOM WOLF,DEM,76,74.0,2.0
Clinton,0029 LOCK HAVEN SECOND WARD,Governor,,SCOTT R WAGNER,REP,47,45.0,2.0
Clinton,0029 LOCK HAVEN SECOND WARD,Governor,,PAUL GLOVER,GRN,0,0.0,0.0
Clinton,0029 LOCK HAVEN SECOND WARD,Governor,,KEN V KRAWCHUK,LIB,5,5.0,0.0
Clinton,0029 LOCK HAVEN SECOND WARD,Governor,,WRITE-INS,,0,0.0,0.0
Clinton,0029 LOCK HAVEN SECOND WARD,U.S. House,12.0,MARC FRIEDENBERG,DEM,72,71.0,1.0
Clinton,0029 LOCK HAVEN SECOND WARD,U.S. House,12.0,TOM MARINO,REP,54,51.0,3.0
Clinton,0029 LOCK HAVEN SECOND WARD,U.S. House,12.0,WRITE-INS,,0,0.0,0.0
Clinton,0029 LOCK HAVEN SECOND WARD,State House,76.0,MIKE HANNA,DEM,86,84.0,2.0
Clinton,0029 LOCK HAVEN SECOND WARD,State House,76.0,STEPHANIE BOROWICZ,REP,43,41.0,2.0
Clinton,0029 LOCK HAVEN SECOND WARD,State House,76.0,WRITE-INS,,0,0.0,0.0
Clinton,0030 LOCK HAVEN THIRD WARD,Registered Voters,,,,1715,,
Clinton,0030 LOCK HAVEN THIRD WARD,Ballots Cast,,,,653,635.0,18.0
Clinton,0030 LOCK HAVEN THIRD WARD,STRAIGHT PARTY,,DEMOCRATIC,DEM,216,209.0,7.0
Clinton,0030 LOCK HAVEN THIRD WARD,STRAIGHT PARTY,,REPUBLICAN,REP,144,142.0,2.0
Clinton,0030 LOCK HAVEN THIRD WARD,STRAIGHT PARTY,,GREEN PARTY,GRN,2,2.0,0.0
Clinton,0030 LOCK HAVEN THIRD WARD,STRAIGHT PARTY,,LIBERTARIAN,LIB,4,4.0,0.0
Clinton,0030 LOCK HAVEN THIRD WARD,U.S. Senate,,"BOB CASEY, JR",DEM,400,385.0,14.0
Clinton,0030 LOCK HAVEN THIRD WARD,U.S. Senate,,LOU BARLETTA,REP,224,219.0,3.0
Clinton,0030 LOCK HAVEN THIRD WARD,U.S. Senate,,NEAL GALE,GRN,12,11.0,0.0
Clinton,0030 LOCK HAVEN THIRD WARD,U.S. Senate,,"DALE R KERNS, JR",LIB,10,9.0,1.0
Clinton,0030 LOCK HAVEN THIRD WARD,U.S. Senate,,WRITE-INS,,0,0.0,0.0
Clinton,0030 LOCK HAVEN THIRD WARD,Governor,,TOM WOLF,DEM,411,396.0,14.0
Clinton,0030 LOCK HAVEN THIRD WARD,Governor,,SCOTT R WAGNER,REP,227,222.0,3.0
Clinton,0030 LOCK HAVEN THIRD WARD,Governor,,PAUL GLOVER,GRN,5,5.0,0.0
Clinton,0030 LOCK HAVEN THIRD WARD,Governor,,KEN V KRAWCHUK,LIB,9,7.0,1.0
Clinton,0030 LOCK HAVEN THIRD WARD,Governor,,WRITE-INS,,1,1.0,0.0
Clinton,0030 LOCK HAVEN THIRD WARD,U.S. House,12.0,MARC FRIEDENBERG,DEM,399,383.0,14.0
Clinton,0030 LOCK HAVEN THIRD WARD,U.S. House,12.0,TOM MARINO,REP,250,244.0,4.0
Clinton,0030 LOCK HAVEN THIRD WARD,U.S. House,12.0,WRITE-INS,,0,0.0,0.0
Clinton,0030 LOCK HAVEN THIRD WARD,State House,76.0,MIKE HANNA,DEM,424,408.0,14.0
Clinton,0030 LOCK HAVEN THIRD WARD,State House,76.0,STEPHANIE BOROWICZ,REP,230,224.0,4.0
Clinton,0030 LOCK HAVEN THIRD WARD,State House,76.0,WRITE-INS,,1,1.0,0.0
Clinton,0031 LOCK HAVEN FOURTH WARD,Registered Voters,,,,1308,,
Clinton,0031 LOCK HAVEN FOURTH WARD,Ballots Cast,,,,681,659.0,22.0
Clinton,0031 LOCK HAVEN FOURTH WARD,STRAIGHT PARTY,,DEMOCRATIC,DEM,174,166.0,8.0
Clinton,0031 LOCK HAVEN FOURTH WARD,STRAIGHT PARTY,,REPUBLICAN,REP,171,166.0,5.0
Clinton,0031 LOCK HAVEN FOURTH WARD,STRAIGHT PARTY,,GREEN PARTY,GRN,1,1.0,0.0
Clinton,0031 LOCK HAVEN FOURTH WARD,STRAIGHT PARTY,,LIBERTARIAN,LIB,2,2.0,0.0
Clinton,0031 LOCK HAVEN FOURTH WARD,U.S. Senate,,"BOB CASEY, JR",DEM,355,340.0,15.0
Clinton,0031 LOCK HAVEN FOURTH WARD,U.S. Senate,,LOU BARLETTA,REP,296,289.0,7.0
Clinton,0031 LOCK HAVEN FOURTH WARD,U.S. Senate,,NEAL GALE,GRN,5,4.0,0.0
Clinton,0031 LOCK HAVEN FOURTH WARD,U.S. Senate,,"DALE R KERNS, JR",LIB,10,10.0,0.0
Clinton,0031 LOCK HAVEN FOURTH WARD,U.S. Senate,,WRITE-INS,,0,0.0,0.0
Clinton,0031 LOCK HAVEN FOURTH WARD,Governor,,TOM WOLF,DEM,378,363.0,14.0
Clinton,0031 LOCK HAVEN FOURTH WARD,Governor,,SCOTT R WAGNER,REP,280,273.0,7.0
Clinton,0031 LOCK HAVEN FOURTH WARD,Governor,,PAUL GLOVER,GRN,4,4.0,0.0
Clinton,0031 LOCK HAVEN FOURTH WARD,Governor,,KEN V KRAWCHUK,LIB,12,12.0,0.0
Clinton,0031 LOCK HAVEN FOURTH WARD,Governor,,WRITE-INS,,1,1.0,0.0
Clinton,0031 LOCK HAVEN FOURTH WARD,U.S. House,12.0,MARC FRIEDENBERG,DEM,332,318.0,13.0
Clinton,0031 LOCK HAVEN FOURTH WARD,U.S. House,12.0,TOM MARINO,REP,333,324.0,9.0
Clinton,0031 LOCK HAVEN FOURTH WARD,U.S. House,12.0,WRITE-INS,,0,0.0,0.0
Clinton,0031 LOCK HAVEN FOURTH WARD,State House,76.0,MIKE HANNA,DEM,415,400.0,14.0
Clinton,0031 LOCK HAVEN FOURTH WARD,State House,76.0,STEPHANIE BOROWICZ,REP,260,252.0,8.0
Clinton,0031 LOCK HAVEN FOURTH WARD,State House,76.0,WRITE-INS,,0,0.0,0.0
Clinton,0032 LOCK HAVEN FIFTH WARD,Registered Voters,,,,596,,
Clinton,0032 LOCK HAVEN FIFTH WARD,Ballots Cast,,,,311,299.0,12.0
Clinton,0032 LOCK HAVEN FIFTH WARD,STRAIGHT PARTY,,DEMOCRATIC,DEM,78,77.0,1.0
Clinton,0032 LOCK HAVEN FIFTH WARD,STRAIGHT PARTY,,REPUBLICAN,REP,98,92.0,6.0
Clinton,0032 LOCK HAVEN FIFTH WARD,STRAIGHT PARTY,,GREEN PARTY,GRN,1,1.0,0.0
Clinton,0032 LOCK HAVEN FIFTH WARD,STRAIGHT PARTY,,LIBERTARIAN,LIB,2,2.0,0.0
Clinton,0032 LOCK HAVEN FIFTH WARD,U.S. Senate,,"BOB CASEY, JR",DEM,143,140.0,3.0
Clinton,0032 LOCK HAVEN FIFTH WARD,U.S. Senate,,LOU BARLETTA,REP,158,147.0,9.0
Clinton,0032 LOCK HAVEN FIFTH WARD,U.S. Senate,,NEAL GALE,GRN,2,2.0,0.0
Clinton,0032 LOCK HAVEN FIFTH WARD,U.S. Senate,,"DALE R KERNS, JR",LIB,3,3.0,0.0
Clinton,0032 LOCK HAVEN FIFTH WARD,U.S. Senate,,WRITE-INS,,0,0.0,0.0
Clinton,0032 LOCK HAVEN FIFTH WARD,Governor,,TOM WOLF,DEM,146,143.0,3.0
Clinton,0032 LOCK HAVEN FIFTH WARD,Governor,,SCOTT R WAGNER,REP,156,145.0,9.0
Clinton,0032 LOCK HAVEN FIFTH WARD,Governor,,PAUL GLOVER,GRN,1,1.0,0.0
Clinton,0032 LOCK HAVEN FIFTH WARD,Governor,,KEN V KRAWCHUK,LIB,6,6.0,0.0
Clinton,0032 LOCK HAVEN FIFTH WARD,Governor,,WRITE-INS,,0,0.0,0.0
Clinton,0032 LOCK HAVEN FIFTH WARD,U.S. House,12.0,MARC FRIEDENBERG,DEM,133,132.0,1.0
Clinton,0032 LOCK HAVEN FIFTH WARD,U.S. House,12.0,TOM MARINO,REP,176,163.0,11.0
Clinton,0032 LOCK HAVEN FIFTH WARD,U.S. House,12.0,WRITE-INS,,0,0.0,0.0
Clinton,0032 LOCK HAVEN FIFTH WARD,State House,76.0,MIKE HANNA,DEM,169,166.0,3.0
Clinton,0032 LOCK HAVEN FIFTH WARD,State House,76.0,STEPHANIE BOROWICZ,REP,140,129.0,9.0
Clinton,0032 LOCK HAVEN FIFTH WARD,State House,76.0,WRITE-INS,,2,2.0,0.0
Clinton,0019 LOGAN TOWNSHIP,Registered Voters,,,,335,,
Clinton,0019 LOGAN TOWNSHIP,Ballots Cast,,,,221,214.0,7.0
Clinton,0019 LOGAN TOWNSHIP,STRAIGHT PARTY,,DEMOCRATIC,DEM,35,33.0,2.0
Clinton,0019 LOGAN TOWNSHIP,STRAIGHT PARTY,,REPUBLICAN,REP,93,90.0,3.0
Clinton,0019 LOGAN TOWNSHIP,STRAIGHT PARTY,,GREEN PARTY,GRN,0,0.0,0.0
Clinton,0019 LOGAN TOWNSHIP,STRAIGHT PARTY,,LIBERTARIAN,LIB,0,0.0,0.0
Clinton,0019 LOGAN TOWNSHIP,U.S. Senate,,"BOB CASEY, JR",DEM,82,78.0,4.0
Clinton,0019 LOGAN TOWNSHIP,U.S. Senate,,LOU BARLETTA,REP,137,134.0,3.0
Clinton,0019 LOGAN TOWNSHIP,U.S. Senate,,NEAL GALE,GRN,1,1.0,0.0
Clinton,0019 LOGAN TOWNSHIP,U.S. Senate,,"DALE R KERNS, JR",LIB,1,1.0,0.0
Clinton,0019 LOGAN TOWNSHIP,U.S. Senate,,WRITE-INS,,0,0.0,0.0
Clinton,0019 LOGAN TOWNSHIP,Governor,,TOM WOLF,DEM,82,78.0,4.0
Clinton,0019 LOGAN TOWNSHIP,Governor,,SCOTT R WAGNER,REP,134,131.0,3.0
Clinton,0019 LOGAN TOWNSHIP,Governor,,PAUL GLOVER,GRN,2,2.0,0.0
Clinton,0019 LOGAN TOWNSHIP,Governor,,KEN V KRAWCHUK,LIB,2,2.0,0.0
Clinton,0019 LOGAN TOWNSHIP,Governor,,WRITE-INS,,0,0.0,0.0
Clinton,0019 LOGAN TOWNSHIP,U.S. House,12.0,MARC FRIEDENBERG,DEM,73,69.0,4.0
Clinton,0019 LOGAN TOWNSHIP,U.S. House,12.0,TOM MARINO,REP,147,144.0,3.0
Clinton,0019 LOGAN TOWNSHIP,U.S. House,12.0,WRITE-INS,,0,0.0,0.0
Clinton,0019 LOGAN TOWNSHIP,State House,76.0,MIKE HANNA,DEM,79,75.0,4.0
Clinton,0019 LOGAN TOWNSHIP,State House,76.0,STEPHANIE BOROWICZ,REP,141,138.0,3.0
Clinton,0019 LOGAN TOWNSHIP,State House,76.0,WRITE-INS,,1,1.0,0.0
Clinton,0020 LOGANTON BOROUGH,Registered Voters,,,,257,,
Clinton,0020 LOGANTON BOROUGH,Ballots Cast,,,,179,170.0,9.0
Clinton,0020 LOGANTON BOROUGH,STRAIGHT PARTY,,DEMOCRATIC,DEM,31,31.0,0.0
Clinton,0020 LOGANTON BOROUGH,STRAIGHT PARTY,,REPUBLICAN,REP,50,48.0,2.0
Clinton,0020 LOGANTON BOROUGH,STRAIGHT PARTY,,GREEN PARTY,GRN,0,0.0,0.0
Clinton,0020 LOGANTON BOROUGH,STRAIGHT PARTY,,LIBERTARIAN,LIB,0,0.0,0.0
Clinton,0020 LOGANTON BOROUGH,U.S. Senate,,"BOB CASEY, JR",DEM,86,83.0,3.0
Clinton,0020 LOGANTON BOROUGH,U.S. Senate,,LOU BARLETTA,REP,86,80.0,6.0
Clinton,0020 LOGANTON BOROUGH,U.S. Senate,,NEAL GALE,GRN,0,0.0,0.0
